jurisdiccion,diputadxs,cantidad diputadas,porcentaje diputadas,senadorxs,cantidad senadoras,porcentaje senadoras
buenos aires,70,34,49,3,2,67
catamarca,5,2,40,3,1,33
chaco,7,3,43,3,1,33
chubut,5,3,60,3,1,33
ciudad autonoma de buenos aires,25,13,52,3,1,33
cordoba,18,8,44,3,2,67
corrientes,7,3,43,3,1,33
entre rios,9,4,44,3,1,33
formosa,5,2,40,3,1,33
jujuy,6,2,33,3,1,33
la pampa,5,2,40,3,1,33
la rioja,5,2,40,3,1,33
mendoza,10,5,50,3,2,67
misiones,7,2,29,3,1,33
neuquen,5,1,20,3,2,67
rio negro,5,1,20,3,1,33
salta,7,3,43,3,1,33
san juan,6,3,50,3,1,33
san luis,5,2,40,3,2,67
santa cruz,5,2,40,3,2,67
santa fe,19,8,42,3,1,33
santiago del estero,7,4,57,3,1,33
tierra del fuego aias,5,3,60,3,2,67
tucuman,9,4,44,3,2,67
